apt_seq,name,flag,converted_on,note,reviewed_on
11680-4341,강남브리즈힐(토지임대부아파트),land_lease,,이름에 토지임대부아파트. 땅값이 빠진 가격(사용자 확인),2026-09-25
11650-3976,호반써밋서초파크뷰(토지임대부아파트),land_lease,,이름에 토지임대부아파트. 땅값이 빠진 가격(사용자 확인),2026-09-25
41590-1761,서봉마을사랑으로부영6단지,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-04-12 전 전월세 2503건(월 48.7건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1316,오색마을사랑으로부영10단지,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-09-01 전 전월세 2272건(월 33.4건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1505,화성향남서봉마을사랑으로부영7단지,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-01-22 전 전월세 2250건(월 46.2건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1322,오색마을사랑으로부영9단지,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-08-24 전 전월세 1791건(월 26.5건). 후보 묶음 일괄 승인(사용자),2026-09-25
41131-1625,위례포레스트부영,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-05-15 전 전월세 1733건(월 34.4건). 후보 묶음 일괄 승인(사용자),2026-09-25
41480-1365,산내마을2단지센트럴리움(공공임대),sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2024-07-13 전 전월세 1313건(월 31.3건). 후보 묶음 일괄 승인(사용자),2026-09-25
41281-3156,디엠씨해링턴플레이스엔에이치에프(임대),sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-01-26 전 전월세 1244건(월 20.5건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1937,엔에이치에프엘크루,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-05-21 전 전월세 1168건(월 18.1건). 후보 묶음 일괄 승인(사용자),2026-09-25
28200-5322,더포레스트,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2024-05-16 전 전월세 1062건(월 26.8건). 후보 묶음 일괄 승인(사용자),2026-09-25
41570-933,한강센트럴블루힐,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2024-01-24 전 전월세 1013건(월 28.2건). 후보 묶음 일괄 승인(사용자),2026-09-25
41220-3379,평택고덕신동아파밀리에엔에이치에프7단지,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-03-31 전 전월세 893건(월 15.8건). 후보 묶음 일괄 승인(사용자),2026-09-25
41310-1082,엘에이치이스트힐,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2024-05-20 전 전월세 796건(월 19.7건). 후보 묶음 일괄 승인(사용자),2026-09-25
41630-797,지에스건설제이드웰엔에이치에프,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2025-09-19 전 전월세 791건(월 14.0건). 후보 묶음 일괄 승인(사용자),2026-09-25
41590-1815,엔에이치에프경남아너스빌,sale_conversion,,묶음1(이름에 임대 표시): 첫 시세용 매매 2026-03-11 전 전월세 782건(월 12.9건). 후보 묶음 일괄 승인(사용자),2026-09-25
41113-2204,벨섬시티,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2024-11-27 전 전월세 771건(월 16.4건). 후보 묶음 일괄 승인(사용자),2026-09-25
41390-2440,네이처포레,sale_conversion,,묶음2(이름 표시 없음): 첫 시세용 매매 2025-01-16 전 전월세 713건(월 14.7건). 후보 묶음 일괄 승인(사용자),2026-09-25
